WorkOrderID,ProductID,OrderQty,StockedQty,ScrappedQty,StartDate,EndDate,DueDate,ScrapReasonID,ModifiedDate
31,771,10,10,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
32,772,5,5,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
33,773,17,17,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
34,774,7,7,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
35,775,22,22,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
36,776,16,16,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
37,777,23,23,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
38,778,20,20,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
39,516,120,120,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
40,517,224,224,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
41,518,98,97,1,03-06-2011,19-06-2011,14-06-2011,7,19-06-2011
42,519,18,18,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
43,717,4,4,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
44,721,14,14,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
45,722,30,30,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
46,723,11,11,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
47,724,1,1,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
48,725,44,44,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
49,726,20,20,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
50,727,14,14,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
51,729,43,43,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
52,730,19,19,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
53,731,14,14,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
54,733,46,46,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
55,734,27,27,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
56,735,11,11,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
57,736,13,13,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
58,738,29,29,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
59,739,5,5,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
60,740,17,17,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
61,741,7,7,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
62,743,16,16,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
63,744,23,23,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
64,745,20,20,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
65,747,22,22,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
66,748,10,10,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
67,806,322,322,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
68,807,138,138,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
69,810,120,117,3,03-06-2011,19-06-2011,14-06-2011,11,19-06-2011
70,811,224,224,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
71,812,98,98,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
72,813,18,18,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
73,817,120,120,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
74,818,224,224,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
75,819,98,98,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
76,820,18,18,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
77,825,120,120,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
78,826,224,224,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
79,827,98,98,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
80,828,18,18,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
81,894,460,460,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
82,945,460,460,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
83,950,322,322,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
84,951,138,138,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
85,994,224,220,4,03-06-2011,19-06-2011,14-06-2011,14,19-06-2011
86,995,98,98,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
87,996,138,138,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
88,3,4600,4600,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
89,324,1148,1148,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
90,327,574,574,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
91,328,240,236,4,03-06-2011,13-06-2011,14-06-2011,15,13-06-2011
92,329,680,680,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
93,398,460,460,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
94,399,574,574,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
95,400,448,448,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
96,401,472,472,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
97,529,460,460,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
98,532,2296,2296,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
99,533,574,574,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
100,534,574,574,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
101,802,305,305,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
102,803,118,118,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
103,804,151,151,0,03-06-2011,19-06-2011,14-06-2011,,19-06-2011
104,316,1148,1148,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
105,331,1148,1148,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
106,350,574,574,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
107,531,574,574,0,03-06-2011,13-06-2011,14-06-2011,,13-06-2011
108,749,1,1,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
109,750,1,1,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
110,771,1,1,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
111,778,1,1,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
112,516,2,2,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
113,519,2,2,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
114,717,1,1,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
115,718,1,1,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
116,745,1,1,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
117,748,1,1,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
118,807,4,4,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
119,810,2,2,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
120,813,2,2,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
121,817,2,2,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
122,820,2,2,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
123,825,2,2,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
124,828,2,2,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
125,894,4,4,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
126,945,4,4,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
127,951,4,4,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
128,996,4,4,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
129,3,40,40,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
130,324,8,8,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
131,327,4,4,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
132,328,4,4,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
133,329,4,4,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
134,398,4,4,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
135,399,4,4,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
136,401,8,8,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
137,529,4,4,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
138,532,16,16,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
139,533,4,4,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
140,534,4,4,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
141,804,4,4,0,04-06-2011,15-06-2011,15-06-2011,,15-06-2011
142,316,8,8,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
143,331,8,8,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
144,350,4,4,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
145,531,4,4,0,04-06-2011,14-06-2011,15-06-2011,,14-06-2011
146,751,2,2,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
147,752,1,1,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
148,753,1,1,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
149,764,1,1,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
150,517,1,1,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
151,519,4,4,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
152,719,2,2,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
153,720,1,1,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
154,721,1,1,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
155,727,1,1,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
156,806,1,1,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
157,807,4,4,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
158,811,1,1,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
159,813,4,4,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
160,818,1,1,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
161,820,4,4,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
162,826,1,1,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
163,828,4,4,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
164,894,5,5,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
165,945,5,5,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
166,950,1,1,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
167,951,4,4,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
168,994,1,1,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
169,996,4,4,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
170,3,50,50,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
171,324,10,10,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
172,327,5,5,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
173,329,10,10,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
174,398,5,5,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
175,399,5,5,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
176,400,2,2,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
177,401,8,8,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
178,529,5,5,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
179,532,20,20,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
180,533,5,5,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
181,534,5,5,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
182,802,1,1,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
183,804,4,4,0,05-06-2011,23-06-2011,16-06-2011,,23-06-2011
184,316,10,10,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
185,331,10,10,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
186,350,5,5,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
187,531,5,5,0,05-06-2011,15-06-2011,16-06-2011,,15-06-2011
188,750,1,1,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
189,753,1,1,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
190,519,2,2,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
191,718,1,1,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
192,721,1,1,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
193,807,2,2,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
194,813,2,2,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
195,820,2,2,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
196,828,2,2,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
197,894,2,2,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
198,945,2,2,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
199,951,2,2,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
200,996,2,2,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
201,3,20,20,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
202,324,4,4,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
203,327,2,2,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
204,329,4,4,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
205,398,2,2,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
206,399,2,2,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
207,401,4,4,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
208,529,2,2,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
209,532,8,8,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
210,533,2,2,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
211,534,2,2,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
212,804,2,2,0,06-06-2011,17-06-2011,17-06-2011,,17-06-2011
213,316,4,4,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
214,331,4,4,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
215,350,2,2,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
216,531,2,2,0,06-06-2011,16-06-2011,17-06-2011,,16-06-2011
217,749,1,1,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
218,750,2,2,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
219,753,1,1,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
220,767,1,1,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
221,517,1,1,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
222,519,4,4,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
223,717,1,1,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
224,718,2,2,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
225,721,1,1,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
226,724,1,1,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
227,806,1,1,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
228,807,4,4,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
229,811,1,1,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
230,813,4,4,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
231,818,1,1,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
232,820,4,4,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
233,826,1,1,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
234,828,4,4,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
235,894,5,5,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
236,945,5,5,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
237,950,1,1,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
238,951,4,4,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
239,994,1,1,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
240,996,4,4,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
241,3,50,50,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
242,324,10,10,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
243,327,5,5,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
244,329,10,10,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
245,398,5,5,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
246,399,5,5,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
247,400,2,2,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
248,401,8,8,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
249,529,5,5,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
250,532,20,20,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
251,533,5,5,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
252,534,5,5,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
253,802,1,1,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
254,804,4,4,0,07-06-2011,27-06-2011,18-06-2011,,27-06-2011
255,316,10,10,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
256,331,10,10,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
257,350,5,5,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
258,531,5,5,0,07-06-2011,17-06-2011,18-06-2011,,17-06-2011
259,749,1,1,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
260,750,2,2,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
261,751,1,1,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
262,519,4,4,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
263,717,1,1,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
264,718,2,2,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
265,719,1,1,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
266,807,4,4,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
267,813,4,4,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
268,820,4,4,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
269,828,4,4,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
270,894,4,4,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
271,945,4,4,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
272,951,4,4,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
273,996,4,4,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
274,3,40,40,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
275,324,8,8,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
276,327,4,4,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
277,329,8,8,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
278,398,4,4,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
279,399,4,4,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
280,401,8,8,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
281,529,4,4,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
282,532,16,16,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
283,533,4,4,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
284,534,4,4,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
285,804,4,4,0,08-06-2011,19-06-2011,19-06-2011,,19-06-2011
286,316,8,8,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
287,331,8,8,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
288,350,4,4,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
289,531,4,4,0,08-06-2011,18-06-2011,19-06-2011,,18-06-2011
290,750,1,1,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
291,751,1,1,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
292,765,1,1,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
293,517,1,1,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
294,519,2,2,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
295,718,1,1,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
296,719,1,1,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
297,722,1,1,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
298,806,1,1,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
299,807,2,2,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
300,811,1,1,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
301,813,2,2,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
302,818,1,1,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
303,820,2,2,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
304,826,1,1,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
305,828,2,2,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
306,894,3,3,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
307,945,3,3,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
308,950,1,1,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
309,951,2,2,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
310,994,1,1,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
311,996,2,2,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
312,3,30,30,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
313,324,6,6,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
314,327,3,3,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
315,329,6,6,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
316,398,3,3,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
317,399,3,3,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
318,400,2,2,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
319,401,4,4,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
320,529,3,3,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
321,532,12,12,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
322,533,3,3,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
323,534,3,3,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
324,802,1,1,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
325,804,2,2,0,09-06-2011,01-07-2011,20-06-2011,,01-07-2011
326,316,6,6,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
327,331,6,6,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
328,350,3,3,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
329,531,3,3,0,09-06-2011,19-06-2011,20-06-2011,,19-06-2011
330,750,2,2,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
331,765,1,1,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
332,517,1,1,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
333,519,2,2,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
334,718,2,2,0,10-06-2011,20-06-2011,21-06-2011,,20-06-2011
335,722,1,1,0,10-06-2011,20-06-2011,21-06-2011,,20-06-2011
336,806,1,1,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
337,807,2,2,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
338,811,1,1,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
339,813,2,2,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
340,818,1,1,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
341,820,2,2,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
342,826,1,1,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
343,828,2,2,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
344,894,3,3,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
345,945,3,3,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
346,950,1,1,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
347,951,2,2,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
348,994,1,1,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
349,996,2,2,0,10-06-2011,21-06-2011,21-06-2011,,21-06-2011
350,3,30,30,0,10-06-2011,20-06-2011,21-06-2011,,20-06-2011
351,324,6,6,0,10-06-2011,20-06-2011,21-06-2011,,20-06-2011
352,327,3,3,0,10-06-2011,20-06-2011,21-06-2011,,20-06-2011
353,329,6,6,0,10-06-2011,20-06-2011,21-06-2011,,20-06-2011
354,398,3,3,0,10-06-2011,20-06-2011,21-06-2011,,20-06-2011
355,399,3,3,0,10-06-2011,20-06-2011,21-06-2011,,20-06-2011
